step,agent_loc,target_loc,item_locs,item_times,reward,agent_load
77,"(1, 2)","(2, 0)","[(1, 2)]",[2],-1,1
78,"(1, 1)","(2, 0)","[(1, 2)]",[3],-1,1
79,"(1, 0)","(2, 0)","[(1, 2)]",[4],-1,1
80,"(2, 0)","(2, 0)","[(1, 2), (0, 1)]","[5, 0]",6.5,0
81,"(2, 1)","(2, 0)","[(1, 2), (0, 1)]","[6, 1]",-1,0
82,"(2, 2)","(2, 0)","[(1, 2), (0, 1), (0, 4)]","[7, 2, 0]",-1,0
83,"(1, 2)","(2, 0)","[(0, 1), (0, 4)]","[3, 1]",6.5,1
84,"(1, 1)","(2, 0)","[(0, 1), (0, 4)]","[4, 2]",-1,1
85,"(1, 0)","(2, 0)","[(0, 1), (0, 4)]","[5, 3]",-1,1
86,"(0, 0)","(2, 0)","[(0, 1), (0, 4)]","[6, 4]",-1,1
87,"(1, 0)","(2, 0)","[(0, 1), (0, 4)]","[7, 5]",-1,1
88,"(0, 0)","(2, 0)","[(0, 1), (0, 4)]","[8, 6]",-1,1
89,"(1, 0)","(2, 0)","[(0, 1), (0, 4), (4, 2)]","[9, 7, 0]",-1,1
90,"(2, 0)","(2, 0)","[(0, 4), (4, 2)]","[8, 1]",6.5,0
91,"(3, 0)","(2, 0)","[(0, 4), (4, 2)]","[9, 2]",-1,0
92,"(3, 1)","(2, 0)","[(4, 2)]",[3],-1,0
93,"(3, 2)","(2, 0)","[(4, 2)]",[4],-1,0
94,"(4, 2)","(2, 0)",[],[],6.5,1
95,"(4, 1)","(2, 0)",[],[],-1,1
96,"(4, 0)","(2, 0)","[(2, 2)]",[0],-1,1
97,"(3, 0)","(2, 0)","[(2, 2)]",[1],-1,1
98,"(2, 0)","(2, 0)","[(2, 2)]",[2],6.5,0
99,"(2, 1)","(2, 0)","[(2, 2), (3, 2)]","[3, 0]",-1,0
100,"(2, 2)","(2, 0)","[(3, 2)]",[1],6.5,1
101,"(2, 1)","(2, 0)","[(3, 2)]",[2],-1,1
102,"(2, 0)","(2, 0)","[(3, 2)]",[3],6.5,0
103,"(2, 1)","(2, 0)","[(3, 2)]",[4],-1,0
104,"(2, 2)","(2, 0)","[(3, 2)]",[5],-1,0
105,"(3, 2)","(2, 0)",[],[],6.5,1
106,"(3, 1)","(2, 0)",[],[],-1,1
107,"(3, 0)","(2, 0)",[],[],-1,1
108,"(2, 0)","(2, 0)",[],[],6.5,0
109,"(2, 1)","(2, 0)",[],[],-1,0
110,"(2, 2)","(2, 0)",[],[],-1,0
111,"(1, 2)","(2, 0)","[(3, 3)]",[0],-1,0
112,"(2, 2)","(2, 0)","[(3, 3)]",[1],-1,0
113,"(2, 3)","(2, 0)","[(3, 3)]",[2],-1,0
114,"(3, 3)","(2, 0)",[],[],6.5,1
115,"(3, 2)","(2, 0)",[],[],-1,1
116,"(3, 1)","(2, 0)",[],[],-1,1
117,"(3, 0)","(2, 0)",[],[],-1,1
118,"(2, 0)","(2, 0)",[],[],6.5,0
119,"(2, 0)","(2, 0)",[],[],0.0,0
120,"(2, 1)","(2, 0)",[],[],-1,0
121,"(2, 2)","(2, 0)","[(2, 2)]",[0],-1,0
122,"(1, 2)","(2, 0)","[(2, 2)]",[1],-1,0
123,"(2, 2)","(2, 0)",[],[],6.5,1
124,"(2, 1)","(2, 0)",[],[],-1,1
125,"(2, 0)","(2, 0)",[],[],6.5,0
126,"(2, 1)","(2, 0)",[],[],-1,0
127,"(2, 1)","(2, 0)",[],[],0,0
128,"(2, 1)","(2, 0)",[],[],0,0
129,"(2, 1)","(2, 0)","[(3, 4)]",[0],0,0
130,"(2, 2)","(2, 0)","[(3, 4), (1, 2)]","[1, 0]",-1,0
131,"(1, 2)","(2, 0)","[(3, 4), (0, 4)]","[2, 0]",6.5,1
132,"(1, 1)","(2, 0)","[(3, 4), (0, 4)]","[3, 1]",-1,1
133,"(2, 1)","(2, 0)","[(3, 4), (0, 4)]","[4, 2]",-1,1
134,"(2, 0)","(2, 0)","[(3, 4), (0, 4)]","[5, 3]",6.5,0
135,"(2, 1)","(2, 0)","[(3, 4), (0, 4)]","[6, 4]",-1,0
136,"(2, 2)","(2, 0)","[(3, 4), (0, 4)]","[7, 5]",-1,0
137,"(2, 3)","(2, 0)","[(3, 4), (0, 4)]","[8, 6]",-1,0
138,"(2, 4)","(2, 0)","[(3, 4), (0, 4), (2, 1)]","[9, 7, 0]",-1,0
139,"(3, 4)","(2, 0)","[(0, 4), (2, 1)]","[8, 1]",6.5,1
140,"(3, 3)","(2, 0)","[(0, 4), (2, 1)]","[9, 2]",-1,1
141,"(3, 2)","(2, 0)","[(2, 1)]",[3],-1,1
142,"(3, 1)","(2, 0)","[(2, 1)]",[4],-1,1
143,"(3, 0)","(2, 0)","[(2, 1), (0, 1), (3, 4)]","[5, 0, 0]",-1,1
144,"(2, 0)","(2, 0)","[(2, 1), (0, 1), (3, 4)]","[6, 1, 1]",6.5,0
145,"(2, 1)","(2, 0)","[(0, 1), (3, 4)]","[2, 2]",6.5,1
146,"(2, 0)","(2, 0)","[(0, 1), (3, 4), (1, 3)]","[3, 3, 0]",6.5,0
147,"(1, 0)","(2, 0)","[(0, 1), (3, 4), (1, 3), (4, 2)]","[4, 4, 1, 0]",-1,0
148,"(1, 1)","(2, 0)","[(0, 1), (3, 4), (1, 3), (4, 2)]","[5, 5, 2, 1]",-1,0
149,"(0, 1)","(2, 0)","[(3, 4), (1, 3), (4, 2)]","[6, 3, 2]",6.5,1
150,"(1, 1)","(2, 0)","[(3, 4), (1, 3), (4, 2), (1, 0)]","[7, 4, 3, 0]",-1,1
151,"(1, 0)","(2, 0)","[(3, 4), (1, 3), (4, 2), (1, 0)]","[8, 5, 4, 1]",-1,1
152,"(2, 0)","(2, 0)","[(3, 4), (1, 3), (4, 2), (1, 0)]","[9, 6, 5, 2]",6.5,0
153,"(1, 0)","(2, 0)","[(1, 3), (4, 2)]","[7, 6]",6.5,1
154,"(2, 0)","(2, 0)","[(1, 3), (4, 2)]","[8, 7]",6.5,0
155,"(2, 0)","(2, 0)","[(1, 3), (4, 2)]","[9, 8]",0.0,0
156,"(2, 0)","(2, 0)","[(4, 2)]",[9],0.0,0
157,"(2, 0)","(2, 0)","[(2, 4)]",[0],0.0,0
158,"(2, 1)","(2, 0)","[(2, 4)]",[1],-1,0
159,"(2, 2)","(2, 0)","[(2, 4)]",[2],-1,0
160,"(2, 3)","(2, 0)","[(2, 4)]",[3],-1,0
161,"(2, 4)","(2, 0)",[],[],6.5,1
162,"(2, 3)","(2, 0)",[],[],-1,1
163,"(2, 2)","(2, 0)",[],[],-1,1
164,"(2, 1)","(2, 0)","[(3, 4)]",[0],-1,1
165,"(2, 0)","(2, 0)","[(3, 4)]",[1],6.5,0
166,"(2, 1)","(2, 0)","[(3, 4)]",[2],-1,0
167,"(2, 2)","(2, 0)","[(3, 4)]",[3],-1,0
168,"(2, 3)","(2, 0)","[(3, 4)]",[4],-1,0
169,"(2, 4)","(2, 0)","[(3, 4), (3, 0)]","[5, 0]",-1,0
170,"(2, 3)","(2, 0)","[(3, 4), (3, 0), (1, 1)]","[6, 1, 0]",-1,0
171,"(3, 3)","(2, 0)","[(3, 4), (3, 0), (1, 1)]","[7, 2, 1]",-1,0
172,"(3, 4)","(2, 0)","[(3, 0), (1, 1)]","[3, 2]",6.5,1
173,"(3, 3)","(2, 0)","[(3, 0), (1, 1)]","[4, 3]",-1,1
174,"(3, 2)","(2, 0)","[(3, 0), (1, 1)]","[5, 4]",-1,1
175,"(3, 1)","(2, 0)","[(3, 0), (1, 1)]","[6, 5]",-1,1
176,"(3, 0)","(2, 0)","[(3, 0), (1, 1)]","[7, 6]",-1,1
177,"(2, 0)","(2, 0)","[(3, 0), (1, 1)]","[8, 7]",6.5,0
178,"(3, 0)","(2, 0)","[(1, 1)]",[8],6.5,1
179,"(2, 0)","(2, 0)","[(1, 1)]",[9],6.5,0
180,"(2, 1)","(2, 0)",[],[],-1,0
181,"(2, 1)","(2, 0)",[],[],0,0
182,"(2, 1)","(2, 0)",[],[],0,0
183,"(2, 2)","(2, 0)",[],[],-1,0
184,"(2, 3)","(2, 0)",[],[],-1,0
185,"(2, 4)","(2, 0)",[],[],-1,0
186,"(2, 3)","(2, 0)","[(1, 2)]",[0],-1,0
187,"(1, 3)","(2, 0)","[(1, 2)]",[1],-1,0
188,"(1, 2)","(2, 0)",[],[],6.5,1
189,"(1, 1)","(2, 0)",[],[],-1,1
190,"(1, 0)","(2, 0)",[],[],-1,1
191,"(2, 0)","(2, 0)",[],[],6.5,0
192,"(2, 1)","(2, 0)",[],[],-1,0
193,"(2, 1)","(2, 0)","[(2, 2)]",[0],0,0
194,"(2, 2)","(2, 0)",[],[],6.5,1
195,"(2, 1)","(2, 0)",[],[],-1,1
196,"(2, 0)","(2, 0)",[],[],6.5,0
197,"(2, 0)","(2, 0)","[(3, 4)]",[0],0.0,0
198,"(2, 1)","(2, 0)","[(3, 4)]",[1],-1,0
199,"(2, 2)","(2, 0)","[(3, 4)]",[2],-1,0
200,"(2, 1)","(2, 0)",[],[],-1,0
201,"(2, 2)","(2, 0)","[(1, 3)]",[0],-1,0
202,"(1, 2)","(2, 0)","[(1, 3)]",[1],-1,0
203,"(1, 3)","(2, 0)",[],[],6.5,1
204,"(1, 2)","(2, 0)",[],[],-1,1
205,"(1, 1)","(2, 0)",[],[],-1,1
206,"(1, 0)","(2, 0)",[],[],-1,1
207,"(2, 0)","(2, 0)",[],[],6.5,0
208,"(3, 0)","(2, 0)","[(1, 3)]",[0],-1,0
209,"(2, 0)","(2, 0)","[(1, 3)]",[1],-1.0,0
210,"(2, 1)","(2, 0)","[(1, 3)]",[2],-1,0
211,"(2, 2)","(2, 0)","[(1, 3)]",[3],-1,0
212,"(1, 2)","(2, 0)","[(1, 3)]",[4],-1,0
213,"(1, 3)","(2, 0)",[],[],6.5,1
214,"(1, 2)","(2, 0)",[],[],-1,1
215,"(1, 1)","(2, 0)",[],[],-1,1
216,"(1, 0)","(2, 0)",[],[],-1,1
217,"(2, 0)","(2, 0)",[],[],6.5,0
218,"(2, 1)","(2, 0)",[],[],-1,0
219,"(2, 1)","(2, 0)",[],[],0,0
220,"(2, 2)","(2, 0)",[],[],-1,0
221,"(2, 2)","(2, 0)",[],[],0,0
222,"(2, 3)","(2, 0)",[],[],-1,0
223,"(1, 3)","(2, 0)","[(0, 1)]",[0],-1,0
224,"(1, 2)","(2, 0)","[(0, 1)]",[1],-1,0
225,"(0, 2)","(2, 0)","[(0, 1)]",[2],-1,0
226,"(0, 1)","(2, 0)",[],[],6.5,1
227,"(0, 0)","(2, 0)",[],[],-1,1
228,"(1, 0)","(2, 0)",[],[],-1,1
229,"(2, 0)","(2, 0)",[],[],6.5,0
230,"(2, 1)","(2, 0)",[],[],-1,0
231,"(2, 1)","(2, 0)",[],[],0,0
232,"(2, 2)","(2, 0)",[],[],-1,0
233,"(2, 2)","(2, 0)",[],[],0,0
234,"(2, 2)","(2, 0)",[],[],0,0
235,"(2, 1)","(2, 0)","[(4, 4)]",[0],-1,0
236,"(2, 2)","(2, 0)","[(4, 4)]",[1],-1,0
237,"(2, 3)","(2, 0)","[(4, 4)]",[2],-1,0
238,"(3, 3)","(2, 0)","[(4, 4)]",[3],-1,0
239,"(3, 4)","(2, 0)","[(4, 4)]",[4],-1,0
240,"(4, 4)","(2, 0)",[],[],6.5,1
241,"(4, 3)","(2, 0)",[],[],-1,1
242,"(4, 2)","(2, 0)",[],[],-1,1
243,"(4, 1)","(2, 0)",[],[],-1,1
244,"(3, 1)","(2, 0)",[],[],-1,1
245,"(2, 1)","(2, 0)",[],[],-1,1
246,"(2, 0)","(2, 0)","[(1, 4)]",[0],6.5,0
247,"(2, 1)","(2, 0)","[(1, 4)]",[1],-1,0
248,"(2, 2)","(2, 0)","[(1, 4)]",[2],-1,0
249,"(2, 3)","(2, 0)","[(1, 4), (3, 1)]","[3, 0]",-1,0
250,"(1, 3)","(2, 0)","[(1, 4), (3, 1)]","[4, 1]",-1,0
251,"(1, 4)","(2, 0)","[(3, 1), (0, 2)]","[2, 0]",6.5,1
252,"(1, 3)","(2, 0)","[(3, 1), (0, 2)]","[3, 1]",-1,1
253,"(1, 2)","(2, 0)","[(3, 1), (0, 2)]","[4, 2]",-1,1
254,"(1, 1)","(2, 0)","[(3, 1), (0, 2)]","[5, 3]",-1,1
255,"(1, 0)","(2, 0)","[(3, 1), (0, 2), (4, 0)]","[6, 4, 0]",-1,1
256,"(2, 0)","(2, 0)","[(3, 1), (0, 2), (4, 0)]","[7, 5, 1]",6.5,0
257,"(3, 0)","(2, 0)","[(3, 1), (0, 2), (4, 0)]","[8, 6, 2]",-1,0
258,"(3, 1)","(2, 0)","[(0, 2), (4, 0), (4, 4)]","[7, 3, 0]",6.5,1
259,"(3, 0)","(2, 0)","[(0, 2), (4, 0), (4, 4), (2, 4)]","[8, 4, 1, 0]",-1,1
260,"(2, 0)","(2, 0)","[(0, 2), (4, 0), (4, 4), (2, 4)]","[9, 5, 2, 1]",6.5,0
261,"(3, 0)","(2, 0)","[(4, 0), (4, 4), (2, 4)]","[6, 3, 2]",-1,0
262,"(4, 0)","(2, 0)","[(4, 4), (2, 4)]","[4, 3]",6.5,1
263,"(3, 0)","(2, 0)","[(4, 4), (2, 4), (0, 1)]","[5, 4, 0]",-1,1
264,"(2, 0)","(2, 0)","[(4, 4), (2, 4), (0, 1)]","[6, 5, 1]",6.5,0
265,"(1, 0)","(2, 0)","[(4, 4), (2, 4), (0, 1)]","[7, 6, 2]",-1,0
