step,agent_loc,target_loc,item_locs,item_times,reward,agent_load
5451,"(4, 1)","(2, 0)","[(0, 3)]",[6],6.5,1
5452,"(4, 0)","(2, 0)","[(0, 3)]",[7],-1,1
5453,"(3, 0)","(2, 0)","[(0, 3)]",[8],-1,1
5454,"(2, 0)","(2, 0)","[(0, 3)]",[9],6.5,0
5455,"(2, 1)","(2, 0)",[],[],-1,0
5456,"(2, 1)","(2, 0)","[(3, 4)]",[0],0,0
5457,"(2, 2)","(2, 0)","[(3, 4)]",[1],-1,0
5458,"(2, 3)","(2, 0)","[(3, 4)]",[2],-1,0
5459,"(3, 3)","(2, 0)","[(3, 4)]",[3],-1,0
5460,"(3, 4)","(2, 0)",[],[],6.5,1
5461,"(3, 3)","(2, 0)",[],[],-1,1
5462,"(3, 2)","(2, 0)",[],[],-1,1
5463,"(3, 1)","(2, 0)",[],[],-1,1
5464,"(3, 0)","(2, 0)",[],[],-1,1
5465,"(2, 0)","(2, 0)",[],[],6.5,0
5466,"(2, 1)","(2, 0)",[],[],-1,0
5467,"(2, 1)","(2, 0)",[],[],0,0
5468,"(2, 2)","(2, 0)",[],[],-1,0
5469,"(1, 2)","(2, 0)",[],[],-1,0
5470,"(0, 2)","(2, 0)",[],[],-1,0
5471,"(0, 2)","(2, 0)",[],[],0,0
5472,"(0, 2)","(2, 0)",[],[],0,0
5473,"(0, 2)","(2, 0)",[],[],0,0
5474,"(0, 2)","(2, 0)",[],[],0,0
5475,"(0, 3)","(2, 0)","[(3, 2)]",[0],-1,0
5476,"(1, 3)","(2, 0)","[(3, 2)]",[1],-1,0
5477,"(2, 3)","(2, 0)","[(3, 2), (1, 4)]","[2, 0]",-1,0
5478,"(3, 3)","(2, 0)","[(3, 2), (1, 4), (4, 0)]","[3, 1, 0]",-1,0
5479,"(3, 2)","(2, 0)","[(1, 4), (4, 0)]","[2, 1]",6.5,1
5480,"(3, 1)","(2, 0)","[(1, 4), (4, 0)]","[3, 2]",-1,1
5481,"(3, 0)","(2, 0)","[(1, 4), (4, 0), (2, 4)]","[4, 3, 0]",-1,1
5482,"(2, 0)","(2, 0)","[(1, 4), (4, 0), (2, 4), (3, 4)]","[5, 4, 1, 0]",6.5,0
5483,"(3, 0)","(2, 0)","[(1, 4), (4, 0), (2, 4), (3, 4)]","[6, 5, 2, 1]",-1,0
5484,"(4, 0)","(2, 0)","[(1, 4), (2, 4), (3, 4)]","[7, 3, 2]",6.5,1
5485,"(3, 0)","(2, 0)","[(1, 4), (2, 4), (3, 4)]","[8, 4, 3]",-1,1
5486,"(2, 0)","(2, 0)","[(1, 4), (2, 4), (3, 4), (3, 2)]","[9, 5, 4, 0]",6.5,0
5487,"(2, 1)","(2, 0)","[(2, 4), (3, 4), (3, 2)]","[6, 5, 1]",-1,0
5488,"(2, 2)","(2, 0)","[(2, 4), (3, 4), (3, 2)]","[7, 6, 2]",-1,0
5489,"(3, 2)","(2, 0)","[(2, 4), (3, 4)]","[8, 7]",6.5,1
5490,"(3, 1)","(2, 0)","[(2, 4), (3, 4)]","[9, 8]",-1,1
5491,"(2, 1)","(2, 0)","[(3, 4), (0, 2)]","[9, 0]",-1,1
5492,"(2, 0)","(2, 0)","[(0, 2)]",[1],6.5,0
5493,"(1, 0)","(2, 0)","[(0, 2)]",[2],-1,0
5494,"(0, 0)","(2, 0)","[(0, 2)]",[3],-1,0
5495,"(0, 1)","(2, 0)","[(0, 2)]",[4],-1,0
5496,"(0, 2)","(2, 0)",[],[],6.5,1
5497,"(0, 1)","(2, 0)",[],[],-1,1
5498,"(0, 0)","(2, 0)",[],[],-1,1
5499,"(1, 0)","(2, 0)",[],[],-1,1
5500,"(2, 0)","(2, 0)",[],[],6.5,0
5501,"(2, 1)","(2, 0)","[(3, 3)]",[0],-1,0
5502,"(2, 2)","(2, 0)","[(3, 3)]",[1],-1,0
5503,"(2, 3)","(2, 0)","[(3, 3), (1, 2)]","[2, 0]",-1,0
5504,"(3, 3)","(2, 0)","[(1, 2), (2, 2)]","[1, 0]",6.5,1
5505,"(3, 2)","(2, 0)","[(1, 2), (2, 2), (1, 4)]","[2, 1, 0]",-1,1
5506,"(3, 1)","(2, 0)","[(1, 2), (2, 2), (1, 4)]","[3, 2, 1]",-1,1
5507,"(3, 0)","(2, 0)","[(1, 2), (2, 2), (1, 4)]","[4, 3, 2]",-1,1
5508,"(2, 0)","(2, 0)","[(1, 2), (2, 2), (1, 4)]","[5, 4, 3]",6.5,0
5509,"(2, 1)","(2, 0)","[(1, 2), (2, 2), (1, 4), (0, 3)]","[6, 5, 4, 0]",-1,0
5510,"(2, 2)","(2, 0)","[(1, 2), (1, 4), (0, 3)]","[7, 5, 1]",6.5,1
5511,"(2, 1)","(2, 0)","[(1, 2), (1, 4), (0, 3)]","[8, 6, 2]",-1,1
5512,"(1, 1)","(2, 0)","[(1, 2), (1, 4), (0, 3), (0, 2)]","[9, 7, 3, 0]",-1,1
5513,"(1, 0)","(2, 0)","[(1, 4), (0, 3), (0, 2)]","[8, 4, 1]",-1,1
5514,"(2, 0)","(2, 0)","[(1, 4), (0, 3), (0, 2)]","[9, 5, 2]",6.5,0
5515,"(1, 0)","(2, 0)","[(0, 3), (0, 2)]","[6, 3]",-1,0
5516,"(1, 1)","(2, 0)","[(0, 3), (0, 2)]","[7, 4]",-1,0
5517,"(0, 1)","(2, 0)","[(0, 3), (0, 2)]","[8, 5]",-1,0
5518,"(0, 2)","(2, 0)","[(0, 3)]",[9],6.5,1
5519,"(0, 1)","(2, 0)",[],[],-1,1
5520,"(0, 0)","(2, 0)",[],[],-1,1
5521,"(1, 0)","(2, 0)","[(4, 2)]",[0],-1,1
5522,"(2, 0)","(2, 0)","[(4, 2)]",[1],6.5,0
5523,"(3, 0)","(2, 0)","[(4, 2)]",[2],-1,0
5524,"(3, 1)","(2, 0)","[(4, 2)]",[3],-1,0
5525,"(3, 2)","(2, 0)","[(4, 2), (3, 3)]","[4, 0]",-1,0
5526,"(4, 2)","(2, 0)","[(3, 3)]",[1],6.5,1
5527,"(4, 1)","(2, 0)","[(3, 3)]",[2],-1,1
5528,"(4, 0)","(2, 0)","[(3, 3)]",[3],-1,1
5529,"(3, 0)","(2, 0)","[(3, 3)]",[4],-1,1
5530,"(2, 0)","(2, 0)","[(3, 3)]",[5],6.5,0
5531,"(2, 1)","(2, 0)","[(3, 3), (3, 4)]","[6, 0]",-1,0
5532,"(2, 2)","(2, 0)","[(3, 3), (3, 4)]","[7, 1]",-1,0
5533,"(2, 3)","(2, 0)","[(3, 3), (3, 4)]","[8, 2]",-1,0
5534,"(3, 3)","(2, 0)","[(3, 4)]",[3],6.5,1
5535,"(3, 2)","(2, 0)","[(3, 4), (2, 3)]","[4, 0]",-1,1
5536,"(3, 1)","(2, 0)","[(3, 4), (2, 3)]","[5, 1]",-1,1
5537,"(3, 0)","(2, 0)","[(3, 4), (2, 3)]","[6, 2]",-1,1
5538,"(2, 0)","(2, 0)","[(3, 4), (2, 3)]","[7, 3]",6.5,0
5539,"(2, 1)","(2, 0)","[(3, 4), (2, 3)]","[8, 4]",-1,0
5540,"(2, 2)","(2, 0)","[(3, 4), (2, 3)]","[9, 5]",-1,0
5541,"(2, 3)","(2, 0)",[],[],6.5,1
5542,"(2, 2)","(2, 0)",[],[],-1,1
5543,"(2, 1)","(2, 0)",[],[],-1,1
5544,"(2, 0)","(2, 0)",[],[],6.5,0
5545,"(2, 0)","(2, 0)",[],[],0.0,0
5546,"(2, 1)","(2, 0)","[(4, 4)]",[0],-1,0
5547,"(2, 2)","(2, 0)","[(4, 4)]",[1],-1,0
5548,"(2, 3)","(2, 0)","[(4, 4)]",[2],-1,0
5549,"(3, 3)","(2, 0)","[(4, 4)]",[3],-1,0
5550,"(3, 4)","(2, 0)","[(4, 4)]",[4],-1,0
5551,"(4, 4)","(2, 0)",[],[],6.5,1
5552,"(4, 3)","(2, 0)",[],[],-1,1
5553,"(4, 2)","(2, 0)",[],[],-1,1
5554,"(4, 1)","(2, 0)","[(0, 3)]",[0],-1,1
5555,"(3, 1)","(2, 0)","[(0, 3)]",[1],-1,1
5556,"(3, 0)","(2, 0)","[(0, 3)]",[2],-1,1
5557,"(2, 0)","(2, 0)","[(0, 3)]",[3],6.5,0
5558,"(1, 0)","(2, 0)","[(0, 3)]",[4],-1,0
5559,"(1, 1)","(2, 0)","[(0, 3)]",[5],-1,0
5560,"(1, 2)","(2, 0)","[(0, 3)]",[6],-1,0
5561,"(0, 2)","(2, 0)","[(0, 3)]",[7],-1,0
5562,"(0, 3)","(2, 0)","[(1, 4)]",[0],6.5,1
5563,"(0, 2)","(2, 0)","[(1, 4)]",[1],-1,1
5564,"(0, 1)","(2, 0)","[(1, 4)]",[2],-1,1
5565,"(1, 1)","(2, 0)","[(1, 4), (4, 4)]","[3, 0]",-1,1
5566,"(2, 1)","(2, 0)","[(1, 4), (4, 4)]","[4, 1]",-1,1
5567,"(2, 0)","(2, 0)","[(1, 4), (4, 4)]","[5, 2]",6.5,0
5568,"(2, 1)","(2, 0)","[(1, 4), (4, 4)]","[6, 3]",-1,0
5569,"(2, 2)","(2, 0)","[(1, 4), (4, 4)]","[7, 4]",-1,0
5570,"(2, 3)","(2, 0)","[(1, 4), (4, 4)]","[8, 5]",-1,0
5571,"(1, 3)","(2, 0)","[(1, 4), (4, 4)]","[9, 6]",-1,0
5572,"(1, 4)","(2, 0)","[(4, 4), (2, 2)]","[7, 0]",6.5,1
5573,"(1, 3)","(2, 0)","[(4, 4), (2, 2)]","[8, 1]",-1,1
5574,"(1, 2)","(2, 0)","[(4, 4), (2, 2)]","[9, 2]",-1,1
5575,"(1, 1)","(2, 0)","[(2, 2)]",[3],-1,1
5576,"(1, 0)","(2, 0)","[(2, 2)]",[4],-1,1
5577,"(2, 0)","(2, 0)","[(2, 2)]",[5],6.5,0
5578,"(2, 1)","(2, 0)","[(2, 2)]",[6],-1,0
5579,"(2, 2)","(2, 0)","[(4, 3)]",[0],6.5,1
5580,"(2, 1)","(2, 0)","[(4, 3)]",[1],-1,1
5581,"(2, 0)","(2, 0)","[(4, 3)]",[2],6.5,0
5582,"(2, 1)","(2, 0)","[(4, 3)]",[3],-1,0
5583,"(2, 0)","(2, 0)","[(4, 3)]",[4],-1.0,0
5584,"(3, 0)","(2, 0)","[(4, 3)]",[5],-1,0
5585,"(3, 1)","(2, 0)","[(4, 3)]",[6],-1,0
5586,"(3, 2)","(2, 0)","[(4, 3)]",[7],-1,0
5587,"(3, 3)","(2, 0)","[(4, 3)]",[8],-1,0
5588,"(4, 3)","(2, 0)",[],[],6.5,1
5589,"(4, 2)","(2, 0)",[],[],-1,1
5590,"(4, 1)","(2, 0)",[],[],-1,1
5591,"(4, 0)","(2, 0)",[],[],-1,1
5592,"(3, 0)","(2, 0)",[],[],-1,1
5593,"(2, 0)","(2, 0)",[],[],6.5,0
5594,"(2, 1)","(2, 0)",[],[],-1,0
5595,"(2, 1)","(2, 0)",[],[],0,0
5596,"(2, 2)","(2, 0)",[],[],-1,0
5597,"(1, 2)","(2, 0)","[(0, 3)]",[0],-1,0
5598,"(0, 2)","(2, 0)","[(0, 3)]",[1],-1,0
5599,"(0, 3)","(2, 0)",[],[],6.5,1
5600,"(3, 0)","(2, 0)","[(1, 4)]",[0],-1,0
5601,"(3, 1)","(2, 0)","[(1, 4)]",[1],-1,0
5602,"(2, 1)","(2, 0)","[(1, 4)]",[2],-1,0
5603,"(2, 2)","(2, 0)","[(1, 4)]",[3],-1,0
5604,"(2, 3)","(2, 0)","[(1, 4)]",[4],-1,0
5605,"(1, 3)","(2, 0)","[(1, 4), (3, 3)]","[5, 0]",-1,0
5606,"(1, 4)","(2, 0)","[(3, 3)]",[1],6.5,1
5607,"(1, 3)","(2, 0)","[(3, 3)]",[2],-1,1
5608,"(1, 2)","(2, 0)","[(3, 3)]",[3],-1,1
5609,"(1, 1)","(2, 0)","[(3, 3)]",[4],-1,1
5610,"(1, 0)","(2, 0)","[(3, 3)]",[5],-1,1
5611,"(2, 0)","(2, 0)","[(3, 3), (1, 3), (4, 4)]","[6, 0, 0]",6.5,0
5612,"(2, 1)","(2, 0)","[(3, 3), (1, 3), (4, 4)]","[7, 1, 1]",-1,0
5613,"(2, 2)","(2, 0)","[(3, 3), (1, 3), (4, 4), (4, 2)]","[8, 2, 2, 0]",-1,0
5614,"(3, 2)","(2, 0)","[(3, 3), (1, 3), (4, 4), (4, 2)]","[9, 3, 3, 1]",-1,0
5615,"(3, 3)","(2, 0)","[(1, 3), (4, 4), (4, 2)]","[4, 4, 2]",6.5,1
5616,"(3, 2)","(2, 0)","[(1, 3), (4, 4), (4, 2)]","[5, 5, 3]",-1,1
5617,"(3, 1)","(2, 0)","[(1, 3), (4, 4), (4, 2)]","[6, 6, 4]",-1,1
5618,"(3, 0)","(2, 0)","[(1, 3), (4, 4), (4, 2)]","[7, 7, 5]",-1,1
5619,"(2, 0)","(2, 0)","[(1, 3), (4, 4), (4, 2)]","[8, 8, 6]",6.5,0
5620,"(3, 0)","(2, 0)","[(1, 3), (4, 4), (4, 2)]","[9, 9, 7]",-1,0
5621,"(3, 1)","(2, 0)","[(4, 2), (1, 2)]","[8, 0]",-1,0
5622,"(3, 2)","(2, 0)","[(4, 2), (1, 2), (3, 1)]","[9, 1, 0]",-1,0
5623,"(4, 2)","(2, 0)","[(1, 2), (3, 1), (1, 3)]","[2, 1, 0]",6.5,1
5624,"(4, 1)","(2, 0)","[(1, 2), (3, 1), (1, 3)]","[3, 2, 1]",-1,1
5625,"(4, 0)","(2, 0)","[(1, 2), (3, 1), (1, 3)]","[4, 3, 2]",-1,1
5626,"(3, 0)","(2, 0)","[(1, 2), (3, 1), (1, 3)]","[5, 4, 3]",-1,1
5627,"(2, 0)","(2, 0)","[(1, 2), (3, 1), (1, 3)]","[6, 5, 4]",6.5,0
5628,"(2, 1)","(2, 0)","[(1, 2), (3, 1), (1, 3)]","[7, 6, 5]",-1,0
5629,"(3, 1)","(2, 0)","[(1, 2), (1, 3)]","[8, 6]",6.5,1
5630,"(3, 0)","(2, 0)","[(1, 2), (1, 3)]","[9, 7]",-1,1
5631,"(2, 0)","(2, 0)","[(1, 3)]",[8],6.5,0
5632,"(2, 1)","(2, 0)","[(1, 3)]",[9],-1,0
5633,"(2, 2)","(2, 0)",[],[],-1,0
5634,"(2, 3)","(2, 0)",[],[],-1,0
5635,"(2, 3)","(2, 0)","[(4, 4)]",[0],0,0
5636,"(3, 3)","(2, 0)","[(4, 4), (3, 3)]","[1, 0]",-1,0
5637,"(4, 3)","(2, 0)","[(4, 4), (3, 3), (0, 2)]","[2, 1, 0]",-1,0
5638,"(4, 4)","(2, 0)","[(3, 3), (0, 2)]","[2, 1]",6.5,1
5639,"(4, 3)","(2, 0)","[(3, 3), (0, 2)]","[3, 2]",-1,1
5640,"(4, 2)","(2, 0)","[(3, 3), (0, 2)]","[4, 3]",-1,1
5641,"(4, 1)","(2, 0)","[(3, 3), (0, 2)]","[5, 4]",-1,1
5642,"(3, 1)","(2, 0)","[(3, 3), (0, 2)]","[6, 5]",-1,1
5643,"(2, 1)","(2, 0)","[(3, 3), (0, 2)]","[7, 6]",-1,1
5644,"(2, 0)","(2, 0)","[(3, 3), (0, 2)]","[8, 7]",6.5,0
5645,"(2, 0)","(2, 0)","[(3, 3), (0, 2)]","[9, 8]",0.0,0
5646,"(2, 0)","(2, 0)","[(0, 2), (1, 4)]","[9, 0]",0.0,0
5647,"(2, 1)","(2, 0)","[(1, 4)]",[1],-1,0
5648,"(1, 1)","(2, 0)","[(1, 4)]",[2],-1,0
5649,"(1, 2)","(2, 0)","[(1, 4)]",[3],-1,0
5650,"(1, 3)","(2, 0)","[(1, 4)]",[4],-1,0
5651,"(1, 4)","(2, 0)",[],[],6.5,1
5652,"(1, 3)","(2, 0)",[],[],-1,1
5653,"(1, 2)","(2, 0)",[],[],-1,1
5654,"(1, 1)","(2, 0)",[],[],-1,1
5655,"(1, 0)","(2, 0)",[],[],-1,1
5656,"(2, 0)","(2, 0)",[],[],6.5,0
5657,"(2, 1)","(2, 0)",[],[],-1,0
5658,"(2, 1)","(2, 0)",[],[],0,0
5659,"(2, 2)","(2, 0)",[],[],-1,0
5660,"(2, 2)","(2, 0)",[],[],0,0
5661,"(2, 1)","(2, 0)",[],[],-1,0
5662,"(1, 1)","(2, 0)",[],[],-1,0
5663,"(1, 0)","(2, 0)",[],[],-1,0
5664,"(1, 1)","(2, 0)",[],[],-1,0
5665,"(1, 2)","(2, 0)",[],[],-1,0
5666,"(0, 2)","(2, 0)",[],[],-1,0
5667,"(0, 2)","(2, 0)",[],[],0,0
5668,"(0, 2)","(2, 0)",[],[],0,0
5669,"(0, 2)","(2, 0)",[],[],0,0
5670,"(0, 2)","(2, 0)",[],[],0,0
5671,"(0, 2)","(2, 0)",[],[],0,0
5672,"(0, 2)","(2, 0)",[],[],0,0
5673,"(0, 2)","(2, 0)",[],[],0,0
5674,"(0, 2)","(2, 0)",[],[],0,0
5675,"(0, 2)","(2, 0)","[(1, 3)]",[0],0,0
5676,"(0, 3)","(2, 0)","[(1, 3)]",[1],-1,0
5677,"(1, 3)","(2, 0)","[(1, 1)]",[0],6.5,1
5678,"(1, 2)","(2, 0)","[(1, 1)]",[1],-1,1
5679,"(1, 1)","(2, 0)","[(1, 1)]",[2],-1,1
5680,"(1, 0)","(2, 0)","[(1, 1)]",[3],-1,1
5681,"(2, 0)","(2, 0)","[(1, 1)]",[4],6.5,0
5682,"(1, 0)","(2, 0)","[(1, 1)]",[5],-1,0
5683,"(1, 1)","(2, 0)",[],[],6.5,1
5684,"(1, 0)","(2, 0)","[(3, 3)]",[0],-1,1
5685,"(2, 0)","(2, 0)","[(3, 3)]",[1],6.5,0
5686,"(2, 1)","(2, 0)","[(3, 3)]",[2],-1,0
5687,"(2, 2)","(2, 0)","[(3, 3), (0, 4)]","[3, 0]",-1,0
5688,"(3, 2)","(2, 0)","[(3, 3), (0, 4)]","[4, 1]",-1,0
5689,"(3, 3)","(2, 0)","[(0, 4), (4, 1)]","[2, 0]",6.5,1
5690,"(3, 2)","(2, 0)","[(0, 4), (4, 1)]","[3, 1]",-1,1
5691,"(3, 1)","(2, 0)","[(0, 4), (4, 1)]","[4, 2]",-1,1
5692,"(3, 0)","(2, 0)","[(0, 4), (4, 1)]","[5, 3]",-1,1
5693,"(2, 0)","(2, 0)","[(0, 4), (4, 1)]","[6, 4]",6.5,0
5694,"(3, 0)","(2, 0)","[(0, 4), (4, 1)]","[7, 5]",-1,0
5695,"(3, 1)","(2, 0)","[(0, 4), (4, 1)]","[8, 6]",-1,0
5696,"(4, 1)","(2, 0)","[(0, 4)]",[9],6.5,1
5697,"(3, 1)","(2, 0)",[],[],-1,1
5698,"(3, 0)","(2, 0)",[],[],-1,1
5699,"(2, 0)","(2, 0)","[(1, 1)]",[0],6.5,0
5700,"(1, 0)","(2, 0)","[(1, 1), (1, 4)]","[1, 0]",-1,0
5701,"(1, 1)","(2, 0)","[(1, 4)]",[1],6.5,1
5702,"(1, 0)","(2, 0)","[(1, 4), (0, 3)]","[2, 0]",-1,1
5703,"(0, 0)","(2, 0)","[(1, 4), (0, 3), (0, 2)]","[3, 1, 0]",-1,1
5704,"(1, 0)","(2, 0)","[(1, 4), (0, 3), (0, 2)]","[4, 2, 1]",-1,1
5705,"(2, 0)","(2, 0)","[(1, 4), (0, 3), (0, 2)]","[5, 3, 2]",6.5,0
5706,"(1, 0)","(2, 0)","[(1, 4), (0, 3), (0, 2)]","[6, 4, 3]",-1,0
5707,"(1, 1)","(2, 0)","[(1, 4), (0, 3), (0, 2)]","[7, 5, 4]",-1,0
5708,"(1, 2)","(2, 0)","[(1, 4), (0, 3), (0, 2)]","[8, 6, 5]",-1,0
5709,"(0, 2)","(2, 0)","[(1, 4), (0, 3)]","[9, 7]",6.5,1
5710,"(0, 1)","(2, 0)","[(0, 3)]",[8],-1,1
5711,"(1, 1)","(2, 0)","[(0, 3)]",[9],-1,1
5712,"(1, 0)","(2, 0)",[],[],-1,1
5713,"(2, 0)","(2, 0)",[],[],6.5,0
5714,"(2, 0)","(2, 0)",[],[],0.0,0
5715,"(3, 0)","(2, 0)",[],[],-1,0
5716,"(3, 1)","(2, 0)",[],[],-1,0
5717,"(3, 2)","(2, 0)",[],[],-1,0
5718,"(3, 3)","(2, 0)",[],[],-1,0
5719,"(2, 3)","(2, 0)",[],[],-1,0
5720,"(1, 3)","(2, 0)",[],[],-1,0
5721,"(0, 3)","(2, 0)",[],[],-1,0
5722,"(0, 4)","(2, 0)",[],[],-1,0
5723,"(0, 4)","(2, 0)",[],[],0,0
5724,"(0, 4)","(2, 0)",[],[],0,0
5725,"(0, 4)","(2, 0)",[],[],0,0
5726,"(0, 4)","(2, 0)",[],[],0,0
5727,"(0, 4)","(2, 0)",[],[],0,0
5728,"(0, 4)","(2, 0)",[],[],0,0
5729,"(0, 4)","(2, 0)",[],[],0,0
5730,"(0, 4)","(2, 0)",[],[],0,0
5731,"(0, 4)","(2, 0)",[],[],0,0
5732,"(0, 4)","(2, 0)","[(4, 3)]",[0],0,0
5733,"(1, 4)","(2, 0)","[(4, 3)]",[1],-1,0
5734,"(2, 4)","(2, 0)","[(4, 3), (0, 0)]","[2, 0]",-1,0
5735,"(3, 4)","(2, 0)","[(4, 3), (0, 0)]","[3, 1]",-1,0
5736,"(2, 4)","(2, 0)","[(4, 3), (0, 0)]","[4, 2]",-1,0
5737,"(3, 4)","(2, 0)","[(4, 3), (0, 0)]","[5, 3]",-1,0
5738,"(3, 3)","(2, 0)","[(4, 3), (0, 0)]","[6, 4]",-1,0
5739,"(4, 3)","(2, 0)","[(0, 0)]",[5],6.5,1
5740,"(4, 2)","(2, 0)","[(0, 0)]",[6],-1,1
5741,"(4, 1)","(2, 0)","[(0, 0)]",[7],-1,1
5742,"(3, 1)","(2, 0)","[(0, 0)]",[8],-1,1
5743,"(3, 0)","(2, 0)","[(0, 0), (0, 4)]","[9, 0]",-1,1
5744,"(2, 0)","(2, 0)","[(0, 4)]",[1],6.5,0
5745,"(1, 0)","(2, 0)","[(0, 4)]",[2],-1,0
5746,"(1, 1)","(2, 0)","[(0, 4), (0, 2)]","[3, 0]",-1,0
5747,"(0, 1)","(2, 0)","[(0, 4), (0, 2)]","[4, 1]",-1,0
5748,"(0, 2)","(2, 0)","[(0, 4)]",[5],6.5,1
5749,"(0, 1)","(2, 0)","[(0, 4), (3, 2)]","[6, 0]",-1,1
5750,"(1, 1)","(2, 0)","[(0, 4), (3, 2)]","[7, 1]",-1,1
5751,"(1, 0)","(2, 0)","[(0, 4), (3, 2), (3, 0)]","[8, 2, 0]",-1,1
5752,"(2, 0)","(2, 0)","[(0, 4), (3, 2), (3, 0)]","[9, 3, 1]",6.5,0
5753,"(3, 0)","(2, 0)","[(3, 2), (0, 3)]","[4, 0]",6.5,1
5754,"(2, 0)","(2, 0)","[(3, 2), (0, 3)]","[5, 1]",6.5,0
5755,"(2, 1)","(2, 0)","[(3, 2), (0, 3)]","[6, 2]",-1,0
5756,"(3, 1)","(2, 0)","[(3, 2), (0, 3)]","[7, 3]",-1,0
5757,"(3, 2)","(2, 0)","[(0, 3)]",[4],6.5,1
5758,"(3, 1)","(2, 0)","[(0, 3)]",[5],-1,1
5759,"(2, 1)","(2, 0)","[(0, 3), (4, 2)]","[6, 0]",-1,1
5760,"(2, 0)","(2, 0)","[(0, 3), (4, 2)]","[7, 1]",6.5,0
5761,"(3, 0)","(2, 0)","[(0, 3), (4, 2)]","[8, 2]",-1,0
5762,"(3, 0)","(2, 0)","[(0, 3), (4, 2)]","[9, 3]",0,0
5763,"(3, 1)","(2, 0)","[(4, 2)]",[4],-1,0
5764,"(3, 2)","(2, 0)","[(4, 2)]",[5],-1,0
5765,"(4, 2)","(2, 0)",[],[],6.5,1
5766,"(4, 1)","(2, 0)",[],[],-1,1
5767,"(3, 1)","(2, 0)","[(2, 4)]",[0],-1,1
5768,"(3, 0)","(2, 0)","[(2, 4)]",[1],-1,1
5769,"(2, 0)","(2, 0)","[(2, 4)]",[2],6.5,0
5770,"(2, 1)","(2, 0)","[(2, 4)]",[3],-1,0
5771,"(2, 2)","(2, 0)","[(2, 4)]",[4],-1,0
5772,"(2, 3)","(2, 0)","[(2, 4)]",[5],-1,0
5773,"(2, 4)","(2, 0)",[],[],6.5,1
5774,"(2, 3)","(2, 0)",[],[],-1,1
5775,"(2, 2)","(2, 0)",[],[],-1,1
5776,"(2, 1)","(2, 0)",[],[],-1,1
5777,"(2, 0)","(2, 0)",[],[],6.5,0
5778,"(2, 0)","(2, 0)",[],[],0.0,0
5779,"(2, 0)","(2, 0)",[],[],0.0,0
5780,"(2, 0)","(2, 0)",[],[],0.0,0
5781,"(2, 1)","(2, 0)",[],[],-1,0
5782,"(2, 2)","(2, 0)",[],[],-1,0
5783,"(1, 2)","(2, 0)",[],[],-1,0
5784,"(0, 2)","(2, 0)","[(0, 4)]",[0],-1,0
5785,"(0, 3)","(2, 0)","[(0, 4)]",[1],-1,0
5786,"(0, 4)","(2, 0)",[],[],6.5,1
5787,"(0, 3)","(2, 0)","[(0, 3)]",[0],-1,1
5788,"(0, 2)","(2, 0)","[(0, 3)]",[1],-1,1
5789,"(0, 1)","(2, 0)","[(0, 3)]",[2],-1,1
5790,"(1, 1)","(2, 0)","[(0, 3)]",[3],-1,1
5791,"(1, 0)","(2, 0)","[(0, 3)]",[4],-1,1
5792,"(2, 0)","(2, 0)","[(0, 3)]",[5],6.5,0
5793,"(1, 0)","(2, 0)","[(0, 3)]",[6],-1,0
5794,"(1, 1)","(2, 0)","[(0, 3)]",[7],-1,0
5795,"(1, 2)","(2, 0)","[(0, 3)]",[8],-1,0
5796,"(0, 2)","(2, 0)","[(0, 3)]",[9],-1,0
5797,"(0, 3)","(2, 0)",[],[],6.5,1
5798,"(0, 2)","(2, 0)",[],[],-1,1
5799,"(0, 1)","(2, 0)",[],[],-1,1
5800,"(2, 0)","(2, 0)",[],[],0.0,0
5801,"(2, 0)","(2, 0)",[],[],0.0,0
5802,"(2, 1)","(2, 0)",[],[],-1,0
5803,"(2, 2)","(2, 0)",[],[],-1,0
5804,"(2, 3)","(2, 0)",[],[],-1,0
5805,"(1, 3)","(2, 0)",[],[],-1,0
5806,"(0, 3)","(2, 0)",[],[],-1,0
5807,"(0, 3)","(2, 0)",[],[],0,0
5808,"(0, 3)","(2, 0)","[(2, 4)]",[0],0,0
5809,"(1, 3)","(2, 0)","[(2, 4)]",[1],-1,0
5810,"(1, 4)","(2, 0)","[(2, 4), (4, 4)]","[2, 0]",-1,0
5811,"(2, 4)","(2, 0)","[(4, 4)]",[1],6.5,1
5812,"(2, 3)","(2, 0)","[(4, 4)]",[2],-1,1
5813,"(2, 2)","(2, 0)","[(4, 4)]",[3],-1,1
5814,"(2, 1)","(2, 0)","[(4, 4)]",[4],-1,1
5815,"(2, 0)","(2, 0)","[(4, 4)]",[5],6.5,0
5816,"(1, 0)","(2, 0)","[(4, 4)]",[6],-1,0
5817,"(1, 0)","(2, 0)","[(4, 4)]",[7],0,0
5818,"(1, 1)","(2, 0)","[(4, 4)]",[8],-1,0
5819,"(0, 1)","(2, 0)","[(4, 4)]",[9],-1,0
5820,"(1, 1)","(2, 0)",[],[],-1,0
5821,"(1, 2)","(2, 0)",[],[],-1,0
5822,"(1, 2)","(2, 0)",[],[],0,0
5823,"(1, 2)","(2, 0)",[],[],0,0
5824,"(1, 3)","(2, 0)",[],[],-1,0
5825,"(0, 3)","(2, 0)",[],[],-1,0
5826,"(0, 3)","(2, 0)","[(2, 2)]",[0],0,0
5827,"(1, 3)","(2, 0)","[(2, 2)]",[1],-1,0
