step,agent_loc,target_loc,item_locs,item_times,reward,agent_load,action_probs
36,"(2, 1)","(2, 0)","[(0, 1)]",[0],-1,1,"[1.5510843240917893e-06, 0.999794065952301, 0.00020352774299681187, 1.471958777088389e-09, 8.807697327029018e-07]"
37,"(1, 1)","(2, 0)","[(0, 1)]",[1],-1,1,"[4.242364866513526e-06, 0.9998295307159424, 0.00015242713561747223, 1.6736316776899685e-09, 1.3675858099304605e-05]"
38,"(0, 1)","(2, 0)",[],[],6.5,2,"[1.689490858325371e-07, 2.910721663695881e-11, 0.0023523387499153614, 0.9976467490196228, 7.815979756742308e-07]"
39,"(1, 1)","(2, 0)",[],[],-1,2,"[7.175740961429256e-07, 5.506526346010787e-10, 1.250381683348678e-05, 0.999531626701355, 0.00045511219650506973]"
40,"(2, 1)","(2, 0)",[],[],-1,2,"[3.908510279870825e-06, 2.659275196492672e-05, 3.471031959634274e-07, 0.0001483326341258362, 0.99982088804245]"
41,"(2, 0)","(2, 0)",[],[],14.0,0,"[0.0003494184056762606, 0.0038238673005253077, 0.48089489340782166, 0.5149029493331909, 2.8866143111372367e-05]"
42,"(3, 0)","(2, 0)",[],[],-1,0,"[0.00021595542784780264, 0.21435905992984772, 0.7812293767929077, 0.004188495688140392, 7.12338623998221e-06]"
43,"(3, 1)","(2, 0)",[],[],-1,0,"[3.289452797616832e-05, 0.08169412612915039, 0.9182122349739075, 6.0193018725840375e-05, 5.08188179537683e-07]"
44,"(3, 2)","(2, 0)",[],[],-1,0,"[8.291145786643028e-05, 0.22833818197250366, 0.7715753316879272, 2.735296675382415e-06, 8.57610359616956e-07]"
45,"(3, 3)","(2, 0)",[],[],-1,0,"[0.0006728942971676588, 0.9984450936317444, 0.0008514523506164551, 6.823877356509911e-07, 2.9988590540597215e-05]"
46,"(2, 3)","(2, 0)",[],[],-1,0,"[0.9373162388801575, 0.005168496165424585, 0.03548790514469147, 0.01970592699944973, 0.0023214477114379406]"
47,"(2, 3)","(2, 0)",[],[],0,0,"[0.9373162388801575, 0.005168496165424585, 0.03548790514469147, 0.01970592699944973, 0.0023214477114379406]"
48,"(2, 3)","(2, 0)",[],[],0,0,"[0.9373162388801575, 0.005168496165424585, 0.03548790514469147, 0.01970592699944973, 0.0023214477114379406]"
49,"(2, 3)","(2, 0)",[],[],0,0,"[0.9373162388801575, 0.005168496165424585, 0.03548790514469147, 0.01970592699944973, 0.0023214477114379406]"
50,"(2, 3)","(2, 0)","[(0, 2), (2, 4)]","[0, 0]",0,0,"[0.0005380752263590693, 8.957867976278067e-06, 0.9990172386169434, 0.00043558026663959026, 1.6180587181224837e-07]"
51,"(2, 4)","(2, 0)","[(0, 2)]",[1],6.5,1,"[5.630322266370058e-05, 0.9961305856704712, 5.449138029689493e-07, 3.6786786949960515e-08, 0.0038125598803162575]"
52,"(1, 4)","(2, 0)","[(0, 2)]",[2],-1,1,"[0.000745029014069587, 0.6177821755409241, 3.595408315959503e-06, 5.089911610411946e-06, 0.3814641237258911]"
53,"(0, 4)","(2, 0)","[(0, 2)]",[3],-1,1,"[0.0011485135182738304, 0.006939772516489029, 9.3303160610958e-06, 0.0010580223752185702, 0.9908443093299866]"
54,"(0, 3)","(2, 0)","[(0, 2)]",[4],-1,1,"[0.0024946113117039204, 0.027722781524062157, 0.00011287718371022493, 0.002581005683168769, 0.9670887589454651]"
55,"(0, 2)","(2, 0)",[],[],6.5,2,"[4.7599922936569783e-07, 6.420721176958466e-10, 0.00010342251334805042, 0.9998419284820557, 5.407003845903091e-05]"
56,"(1, 2)","(2, 0)",[],[],-1,2,"[9.121035873249639e-06, 2.687766311737505e-07, 6.1029177231830545e-06, 0.7784100770950317, 0.22157442569732666]"
57,"(2, 2)","(2, 0)","[(0, 3)]",[0],-1,2,"[1.1437235116318334e-05, 0.987517774105072, 0.012469657696783543, 4.941834941263323e-09, 1.1755648756661685e-06]"
58,"(1, 2)","(2, 0)","[(0, 3), (1, 4)]","[1, 0]",-1,2,"[0.0003975019499193877, 0.24792182445526123, 0.751654863357544, 2.645170980031253e-06, 2.3109989342628978e-05]"
59,"(1, 3)","(2, 0)","[(0, 3), (1, 4)]","[2, 1]",-1,2,"[0.00018000794807448983, 0.9974821209907532, 0.0013351214583963156, 8.245750677815522e-07, 0.0010019519831985235]"
60,"(0, 3)","(2, 0)","[(1, 4)]",[2],6.5,3,"[5.72884800931206e-06, 6.649845829542755e-08, 4.800009264727123e-05, 0.9953604340553284, 0.004585668910294771]"
61,"(1, 3)","(2, 0)","[(1, 4), (2, 3)]","[3, 0]",-1,3,"[2.230568861705251e-05, 5.547244199988199e-06, 3.799411160798627e-06, 0.09137521684169769, 0.9085931181907654]"
62,"(1, 2)","(2, 0)","[(1, 4), (2, 3), (3, 2)]","[4, 1, 0]",-1,3,"[9.662366210250184e-06, 2.5862715347102494e-07, 1.3705843230127357e-05, 0.9056656956672668, 0.0943107157945633]"
63,"(2, 2)","(2, 0)","[(1, 4), (2, 3), (3, 2)]","[5, 2, 1]",-1,3,"[1.1050552757296828e-06, 1.822342528612353e-05, 6.988980771893694e-08, 8.075317600741982e-05, 0.9998998641967773]"
64,"(2, 1)","(2, 0)","[(1, 4), (2, 3), (3, 2)]","[6, 3, 2]",-1,3,"[2.5937928512576036e-05, 7.389437087113038e-05, 8.301708476210479e-06, 0.0015091410605236888, 0.9983826875686646]"
65,"(2, 0)","(2, 0)","[(1, 4), (2, 3), (3, 2)]","[7, 4, 3]",21.5,0,"[0.0003494184056762606, 0.0038238673005253077, 0.48089489340782166, 0.5149029493331909, 2.8866143111372367e-05]"
66,"(3, 0)","(2, 0)","[(1, 4), (2, 3), (3, 2)]","[8, 5, 4]",-1,0,"[0.00026739778695628047, 0.006554168649017811, 0.8066891431808472, 0.18645493686199188, 3.435940379858948e-05]"
67,"(3, 1)","(2, 0)","[(1, 4), (2, 3), (3, 2)]","[9, 6, 5]",-1,0,"[4.747465209220536e-05, 0.00029067444847896695, 0.9931353330612183, 0.0065206848084926605, 5.79062771066674e-06]"
68,"(3, 2)","(2, 0)","[(2, 3), (2, 1)]","[7, 0]",6.5,1,"[2.583476270956453e-05, 0.20058061182498932, 0.7993919253349304, 7.311556373679196e-07, 8.431037485934212e-07]"
