step,agent_loc,target_loc,item_locs,item_times,reward,agent_load,action_probs
755,"(2, 1)","(2, 0)",[],[],-1,1,"[1.0953217497444712e-05, 5.2393701480468735e-05, 6.02680003680689e-08, 0.00013730926730204374, 0.9997993111610413]"
756,"(2, 0)","(2, 0)","[(4, 0)]",[0],6.5,0,"[1.4528841347782873e-06, 1.3001516308008831e-08, 0.18819768726825714, 0.8117929697036743, 7.9834599091555e-06]"
757,"(2, 1)","(2, 0)","[(4, 0)]",[1],-1,0,"[2.9352231649681926e-06, 3.516114288615313e-09, 0.020662330090999603, 0.9791542291641235, 0.0001805500651244074]"
758,"(3, 1)","(2, 0)","[(4, 0)]",[2],-1,0,"[0.00015940154844429344, 1.7588014316061162e-06, 0.00023209606297314167, 0.9363588690757751, 0.06324783712625504]"
759,"(4, 1)","(2, 0)","[(4, 0), (3, 4)]","[3, 0]",-1,0,"[0.006275205407291651, 0.02065349742770195, 8.738312317291275e-05, 0.0258979219943285, 0.9470860362052917]"
760,"(4, 0)","(2, 0)","[(3, 4), (1, 3)]","[1, 0]",6.5,1,"[0.00017025716078933328, 0.13151542842388153, 0.8615583777427673, 0.006751713342964649, 4.184953468211461e-06]"
761,"(4, 1)","(2, 0)","[(3, 4), (1, 3)]","[2, 1]",-1,1,"[3.645331526058726e-05, 0.043742526322603226, 0.9559286236763, 0.0002919185790233314, 4.911372570859385e-07]"
762,"(4, 2)","(2, 0)","[(3, 4), (1, 3)]","[3, 2]",-1,1,"[1.0248659236822277e-05, 0.013223026879131794, 0.9867594838142395, 7.143126367736841e-06, 1.434452769899508e-07]"
763,"(4, 3)","(2, 0)","[(3, 4), (1, 3)]","[4, 3]",-1,1,"[0.00010635322541929781, 0.1400032937526703, 0.8598763346672058, 8.046516086324118e-06, 6.065076831873739e-06]"
764,"(4, 4)","(2, 0)","[(3, 4), (1, 3)]","[5, 4]",-1,1,"[0.0020921514369547367, 0.9886809587478638, 0.008585566654801369, 1.2586579032358713e-05, 0.0006287998985499144]"
765,"(3, 4)","(2, 0)","[(1, 3)]",[5],6.5,2,"[8.348953087988775e-06, 0.9995684027671814, 4.421394351084018e-06, 7.788789169183019e-09, 0.00041887760744430125]"
766,"(2, 4)","(2, 0)","[(1, 3)]",[6],-1,2,"[0.0004210588813293725, 0.9235352277755737, 4.785711280419491e-05, 4.150159384153085e-06, 0.07599173486232758]"
767,"(1, 4)","(2, 0)","[(1, 3)]",[7],-1,2,"[0.004249103832989931, 0.02831185609102249, 0.0005565364845097065, 0.013128865510225296, 0.9537535905838013]"
768,"(1, 3)","(2, 0)",[],[],6.5,3,"[2.230568861705251e-05, 5.547244199988199e-06, 3.799411160798627e-06, 0.09137521684169769, 0.9085931181907654]"
769,"(1, 2)","(2, 0)",[],[],-1,3,"[9.662366210250184e-06, 2.5862715347102494e-07, 1.3705843230127357e-05, 0.9056656956672668, 0.0943107157945633]"
770,"(1, 1)","(2, 0)",[],[],-1,3,"[4.999035354558146e-06, 1.0044804987785483e-08, 3.227288834750652e-05, 0.9984447360038757, 0.0015180105110630393]"
771,"(2, 1)","(2, 0)",[],[],-1,3,"[2.5937928512576036e-05, 7.389437087113038e-05, 8.301708476210479e-06, 0.0015091410605236888, 0.9983826875686646]"
772,"(2, 0)","(2, 0)",[],[],21.5,0,"[0.0003494184056762606, 0.0038238673005253077, 0.48089489340782166, 0.5149029493331909, 2.8866143111372367e-05]"
773,"(3, 0)","(2, 0)",[],[],-1,0,"[0.00021595542784780264, 0.21435905992984772, 0.7812293767929077, 0.004188495688140392, 7.12338623998221e-06]"
774,"(2, 0)","(2, 0)",[],[],-1.0,0,"[0.0003494184056762606, 0.0038238673005253077, 0.48089489340782166, 0.5149029493331909, 2.8866143111372367e-05]"
775,"(2, 1)","(2, 0)",[],[],-1,0,"[0.0001258287375094369, 0.0003503488842397928, 0.8719269633293152, 0.12759311497211456, 3.720449740285403e-06]"
776,"(2, 2)","(2, 0)","[(4, 4)]",[0],-1,0,"[6.5464823819638696e-06, 1.2957751316378108e-08, 0.2699083089828491, 0.7300849556922913, 1.4335820708311076e-07]"
777,"(3, 2)","(2, 0)","[(4, 4)]",[1],-1,0,"[1.8759476006380282e-05, 3.7217620274532237e-07, 0.503010630607605, 0.4969690442085266, 1.1439894933573669e-06]"
778,"(3, 3)","(2, 0)","[(4, 4)]",[2],-1,0,"[7.183820707723498e-05, 2.8237273852482758e-08, 0.3056636452674866, 0.694259524345398, 5.0356484280200675e-06]"
779,"(4, 3)","(2, 0)","[(4, 4)]",[3],-1,0,"[0.00029466269188560545, 0.00011503150017233565, 0.9939694404602051, 0.005605567712336779, 1.529642759123817e-05]"
780,"(4, 4)","(2, 0)",[],[],6.5,1,"[0.00026017785421572626, 0.7445411086082458, 3.470222225132602e-07, 2.0833313101320527e-06, 0.25519630312919617]"
781,"(3, 4)","(2, 0)",[],[],-1,1,"[0.00012990651885047555, 0.017130229622125626, 5.050066675948983e-08, 7.112423190847039e-06, 0.9827326536178589]"
782,"(3, 3)","(2, 0)",[],[],-1,1,"[0.00011306224041618407, 0.06013438478112221, 8.577266896736546e-08, 5.185297140997136e-06, 0.9397472739219666]"
783,"(3, 2)","(2, 0)",[],[],-1,1,"[9.269015572499484e-05, 0.424556165933609, 5.261302362669085e-07, 4.330903266236419e-06, 0.5753462910652161]"
784,"(2, 2)","(2, 0)","[(1, 2)]",[0],-1,1,"[8.637193786853459e-06, 0.9998517036437988, 0.00012120285100536421, 7.207816565824032e-09, 1.853286084951833e-05]"
785,"(1, 2)","(2, 0)",[],[],6.5,2,"[9.121035873249639e-06, 2.687766311737505e-07, 6.1029177231830545e-06, 0.7784100770950317, 0.22157442569732666]"
786,"(2, 2)","(2, 0)",[],[],-1,2,"[5.775971771981858e-07, 1.1044322491216008e-05, 4.356797589366579e-09, 2.3441225494025275e-05, 0.9999649524688721]"
787,"(2, 1)","(2, 0)",[],[],-1,2,"[3.908510279870825e-06, 2.659275196492672e-05, 3.471031959634274e-07, 0.0001483326341258362, 0.99982088804245]"
788,"(2, 0)","(2, 0)",[],[],14.0,0,"[0.0003494184056762606, 0.0038238673005253077, 0.48089489340782166, 0.5149029493331909, 2.8866143111372367e-05]"
789,"(2, 1)","(2, 0)",[],[],-1,0,"[0.0001258287375094369, 0.0003503488842397928, 0.8719269633293152, 0.12759311497211456, 3.720449740285403e-06]"
790,"(2, 2)","(2, 0)",[],[],-1,0,"[5.403256000136025e-05, 8.17106592876371e-06, 0.9991822838783264, 0.0007553067407570779, 1.8750439778614236e-07]"
791,"(2, 3)","(2, 0)",[],[],-1,0,"[0.9373162388801575, 0.005168496165424585, 0.03548790514469147, 0.01970592699944973, 0.0023214477114379406]"
792,"(2, 3)","(2, 0)",[],[],0,0,"[0.9373162388801575, 0.005168496165424585, 0.03548790514469147, 0.01970592699944973, 0.0023214477114379406]"
793,"(2, 3)","(2, 0)",[],[],0,0,"[0.9373162388801575, 0.005168496165424585, 0.03548790514469147, 0.01970592699944973, 0.0023214477114379406]"
794,"(2, 4)","(2, 0)",[],[],-1,0,"[0.5117229223251343, 0.032551124691963196, 0.00023296194558497518, 0.022134196013212204, 0.4333588182926178]"
795,"(2, 3)","(2, 0)",[],[],-1,0,"[0.9373162388801575, 0.005168496165424585, 0.03548790514469147, 0.01970592699944973, 0.0023214477114379406]"
796,"(2, 3)","(2, 0)","[(1, 3)]",[0],0,0,"[0.0007542945095337927, 0.9990140199661255, 0.00022568307758774608, 5.199035513214767e-08, 5.920669082115637e-06]"
797,"(1, 3)","(2, 0)",[],[],6.5,1,"[0.00011449048179201782, 1.0117088095284998e-05, 1.435027343177353e-06, 0.06234578415751457, 0.937528133392334]"
798,"(1, 2)","(2, 0)",[],[],-1,1,"[2.912126001319848e-05, 8.122572126012528e-07, 4.3741019908338785e-06, 0.5889999270439148, 0.4109657406806946]"
799,"(1, 1)","(2, 0)",[],[],-1,1,"[0.0003494184056762606, 0.0038238673005253077, 0.48089489340782166, 0.5149029493331909, 2.8866143111372367e-05]"
800,"(2, 1)","(2, 0)",[],[],-1,0,"[0.0001258287375094369, 0.0003503488842397928, 0.8719269633293152, 0.12759311497211456, 3.720449740285403e-06]"
801,"(2, 2)","(2, 0)",[],[],-1,0,"[5.403256000136025e-05, 8.17106592876371e-06, 0.9991822838783264, 0.0007553067407570779, 1.8750439778614236e-07]"
802,"(2, 3)","(2, 0)",[],[],-1,0,"[0.9373162388801575, 0.005168496165424585, 0.03548790514469147, 0.01970592699944973, 0.0023214477114379406]"
803,"(2, 4)","(2, 0)",[],[],-1,0,"[0.5117229223251343, 0.032551124691963196, 0.00023296194558497518, 0.022134196013212204, 0.4333588182926178]"
804,"(2, 3)","(2, 0)",[],[],-1,0,"[0.9373162388801575, 0.005168496165424585, 0.03548790514469147, 0.01970592699944973, 0.0023214477114379406]"
805,"(2, 3)","(2, 0)",[],[],0,0,"[0.9373162388801575, 0.005168496165424585, 0.03548790514469147, 0.01970592699944973, 0.0023214477114379406]"
806,"(2, 3)","(2, 0)","[(3, 4)]",[0],0,0,"[9.206947288475931e-05, 9.529003364150412e-09, 0.35639551281929016, 0.6435115933418274, 8.189070399566845e-07]"
807,"(3, 3)","(2, 0)","[(3, 4)]",[1],-1,0,"[0.0003216475888621062, 2.9678380087716505e-05, 0.997665286064148, 0.001981155714020133, 2.2224080566957127e-06]"
808,"(3, 4)","(2, 0)",[],[],6.5,1,"[0.00012990651885047555, 0.017130229622125626, 5.050066675948983e-08, 7.112423190847039e-06, 0.9827326536178589]"
809,"(3, 3)","(2, 0)",[],[],-1,1,"[0.00011306224041618407, 0.06013438478112221, 8.577266896736546e-08, 5.185297140997136e-06, 0.9397472739219666]"
810,"(3, 2)","(2, 0)",[],[],-1,1,"[9.269015572499484e-05, 0.424556165933609, 5.261302362669085e-07, 4.330903266236419e-06, 0.5753462910652161]"
811,"(2, 2)","(2, 0)",[],[],-1,1,"[5.011359007767169e-06, 3.404098970349878e-05, 2.9339652929394333e-09, 2.7089836294180714e-05, 0.9999338388442993]"
812,"(2, 1)","(2, 0)",[],[],-1,1,"[1.0953217497444712e-05, 5.2393701480468735e-05, 6.02680003680689e-08, 0.00013730926730204374, 0.9997993111610413]"
813,"(2, 0)","(2, 0)",[],[],6.5,0,"[0.0003494184056762606, 0.0038238673005253077, 0.48089489340782166, 0.5149029493331909, 2.8866143111372367e-05]"
814,"(2, 1)","(2, 0)",[],[],-1,0,"[0.0001258287375094369, 0.0003503488842397928, 0.8719269633293152, 0.12759311497211456, 3.720449740285403e-06]"
815,"(2, 2)","(2, 0)","[(4, 2)]",[0],-1,0,"[7.431109452227247e-07, 1.2946903271693344e-10, 0.040331799536943436, 0.95966637134552, 1.1217740620850236e-06]"
816,"(3, 2)","(2, 0)","[(4, 2)]",[1],-1,0,"[3.347780148033053e-05, 3.405300574854664e-08, 0.0074440608732402325, 0.9922627210617065, 0.0002597308193799108]"
817,"(4, 2)","(2, 0)","[(3, 4)]",[0],6.5,1,"[1.0248659236822277e-05, 0.013223026879131794, 0.9867594838142395, 7.143126367736841e-06, 1.434452769899508e-07]"
818,"(4, 3)","(2, 0)","[(3, 4)]",[1],-1,1,"[0.00010635322541929781, 0.1400032937526703, 0.8598763346672058, 8.046516086324118e-06, 6.065076831873739e-06]"
819,"(3, 3)","(2, 0)","[(3, 4)]",[2],-1,1,"[6.395029049599543e-05, 8.466678082186263e-06, 0.9984557628631592, 0.0014711415860801935, 7.557553090009606e-07]"
820,"(3, 4)","(2, 0)",[],[],6.5,2,"[1.2008666999463458e-05, 0.0037620398215949535, 1.8172336524457933e-08, 2.203448048021528e-06, 0.9962236881256104]"
821,"(3, 3)","(2, 0)",[],[],-1,2,"[8.29476812214125e-06, 0.010075142607092857, 2.5153607197125893e-08, 1.2457771845220122e-06, 0.9899153709411621]"
822,"(3, 2)","(2, 0)","[(1, 3)]",[0],-1,2,"[7.0293999669956975e-06, 0.9920661449432373, 0.00792607944458723, 5.0501691717386166e-09, 6.737352578056743e-07]"
823,"(2, 2)","(2, 0)","[(1, 3)]",[1],-1,2,"[0.00015262604574672878, 0.2469162940979004, 0.7529168725013733, 1.964317107194802e-06, 1.2199090633657761e-05]"
824,"(2, 3)","(2, 0)","[(1, 3)]",[2],-1,2,"[0.00018136174185201526, 0.9962809681892395, 0.0021195251028984785, 8.467259817734885e-07, 0.0014173996169120073]"
825,"(1, 3)","(2, 0)",[],[],6.5,3,"[2.230568861705251e-05, 5.547244199988199e-06, 3.799411160798627e-06, 0.09137521684169769, 0.9085931181907654]"
826,"(2, 3)","(2, 0)","[(2, 2), (2, 4)]","[0, 0]",-1,3,"[9.65014692155819e-07, 1.692338628345169e-05, 1.5497406025133387e-08, 3.327142258058302e-05, 0.9999488592147827]"
827,"(2, 2)","(2, 0)","[(2, 2), (2, 4)]","[1, 1]",-1,3,"[1.1050552757296828e-06, 1.822342528612353e-05, 6.988980771893694e-08, 8.075317600741982e-05, 0.9998998641967773]"
828,"(2, 1)","(2, 0)","[(2, 2), (2, 4)]","[2, 2]",-1,3,"[2.5937928512576036e-05, 7.389437087113038e-05, 8.301708476210479e-06, 0.0015091410605236888, 0.9983826875686646]"
829,"(2, 0)","(2, 0)","[(2, 2), (2, 4)]","[3, 3]",21.5,0,"[0.000263811118202284, 0.004848960787057877, 0.6485236883163452, 0.34633108973503113, 3.246685810154304e-05]"
830,"(3, 0)","(2, 0)","[(2, 2), (2, 4)]","[4, 4]",-1,0,"[9.328754094894975e-05, 0.3226226270198822, 0.6769186854362488, 0.0003630210703704506, 2.327183892703033e-06]"
831,"(2, 0)","(2, 0)","[(2, 2), (2, 4)]","[5, 5]",-1.0,0,"[0.000263811118202284, 0.004848960787057877, 0.6485236883163452, 0.34633108973503113, 3.246685810154304e-05]"
832,"(2, 1)","(2, 0)","[(2, 2), (2, 4)]","[6, 6]",-1,0,"[3.1025574571685866e-05, 8.535887172911316e-05, 0.9943915009498596, 0.005490540526807308, 1.539033519293298e-06]"
833,"(2, 2)","(2, 0)","[(2, 4)]",[7],6.5,1,"[5.9483363656909205e-06, 4.87930583403795e-06, 0.9994328618049622, 0.000556320883333683, 5.184552787085295e-09]"
834,"(2, 3)","(2, 0)","[(2, 4), (0, 4)]","[8, 0]",-1,1,"[0.00010361144813941792, 4.53585380455479e-06, 0.9989973902702332, 0.0008944211876951158, 9.640380227438072e-08]"
835,"(2, 4)","(2, 0)","[(0, 4)]",[1],6.5,2,"[6.64408389638993e-06, 0.9999186992645264, 6.380465492838994e-05, 1.7716390576794083e-09, 1.0864790056075435e-05]"
836,"(1, 4)","(2, 0)","[(0, 4)]",[2],-1,2,"[0.0003449607756920159, 0.9977951049804688, 0.0012798429233953357, 1.4780906667510862e-06, 0.0005786570254713297]"
837,"(0, 4)","(2, 0)",[],[],6.5,3,"[4.821088077733293e-05, 2.295992999279406e-06, 5.0709251809166744e-05, 0.9048174619674683, 0.09508141130208969]"
838,"(1, 4)","(2, 0)","[(3, 2)]",[0],-1,3,"[2.1404799554147758e-05, 1.5864457964198664e-05, 1.1368560990376864e-06, 0.013402710668742657, 0.9865589141845703]"
839,"(1, 3)","(2, 0)","[(3, 2)]",[1],-1,3,"[2.230568861705251e-05, 5.547244199988199e-06, 3.799411160798627e-06, 0.09137521684169769, 0.9085931181907654]"
840,"(1, 2)","(2, 0)","[(3, 2), (4, 1)]","[2, 0]",-1,3,"[9.662366210250184e-06, 2.5862715347102494e-07, 1.3705843230127357e-05, 0.9056656956672668, 0.0943107157945633]"
841,"(2, 2)","(2, 0)","[(3, 2), (4, 1)]","[3, 1]",-1,3,"[1.1050552757296828e-06, 1.822342528612353e-05, 6.988980771893694e-08, 8.075317600741982e-05, 0.9998998641967773]"
842,"(2, 1)","(2, 0)","[(3, 2), (4, 1)]","[4, 2]",-1,3,"[2.5937928512576036e-05, 7.389437087113038e-05, 8.301708476210479e-06, 0.0015091410605236888, 0.9983826875686646]"
843,"(2, 0)","(2, 0)","[(3, 2), (4, 1)]","[5, 3]",21.5,0,"[1.5308978618122637e-05, 4.324404926592251e-06, 0.15648245811462402, 0.8434953093528748, 2.5686035769467708e-06]"
844,"(3, 0)","(2, 0)","[(3, 2), (4, 1)]","[6, 4]",-1,0,"[0.00026739778695628047, 0.006554168649017811, 0.8066891431808472, 0.18645493686199188, 3.435940379858948e-05]"
845,"(4, 0)","(2, 0)","[(3, 2), (4, 1)]","[7, 5]",-1,0,"[0.0007804444176144898, 0.023655718192458153, 0.8757472038269043, 0.09937375038862228, 0.00044291652739048004]"
846,"(4, 1)","(2, 0)","[(3, 2)]",[8],6.5,1,"[4.791651736013591e-05, 0.7222039699554443, 0.2777201533317566, 1.7045807908289135e-05, 1.0861987902899273e-05]"
847,"(3, 1)","(2, 0)","[(3, 2)]",[9],-1,1,"[4.7388148232130334e-05, 0.00041379121830686927, 0.9921173453330994, 0.00741367693990469, 7.808057489455678e-06]"
848,"(3, 2)","(2, 0)",[],[],6.5,2,"[8.271415936178528e-06, 0.042241133749485016, 1.8404094248580805e-07, 1.2467064607335487e-06, 0.9577491879463196]"
849,"(3, 1)","(2, 0)","[(1, 4)]",[0],-1,2,"[2.5855268177110702e-05, 0.6722157001495361, 0.3277569115161896, 1.407240233675111e-06, 9.565911085473999e-08]"
850,"(2, 1)","(2, 0)","[(1, 4)]",[1],-1,2,"[6.882820889586583e-05, 0.041055288165807724, 0.9587993025779724, 7.644877769052982e-05, 7.583079764117429e-08]"
851,"(2, 2)","(2, 0)","[(1, 4)]",[2],-1,2,"[1.8742353859124705e-05, 0.009880823083221912, 0.9900985360145569, 1.890577664198645e-06, 3.994512809413209e-08]"
852,"(2, 3)","(2, 0)","[(1, 4)]",[3],-1,2,"[0.00033280238858424127, 0.20951196551322937, 0.7901415228843689, 3.611861984609277e-06, 1.0084107088914607e-05]"
853,"(2, 4)","(2, 0)","[(1, 4), (2, 4)]","[4, 0]",-1,2,"[0.08795395493507385, 0.06671064347028732, 0.4134337604045868, 0.35840874910354614, 0.07349292188882828]"
854,"(2, 4)","(2, 0)","[(1, 4)]",[5],7.5,3,"[2.156647497031372e-06, 3.7049376260256395e-05, 1.5049236523623222e-08, 2.797095112327952e-05, 0.9999327659606934]"
855,"(2, 3)","(2, 0)","[(1, 4)]",[6],-1,3,"[9.65014692155819e-07, 1.692338628345169e-05, 1.5497406025133387e-08, 3.327142258058302e-05, 0.9999488592147827]"
856,"(2, 2)","(2, 0)","[(1, 4)]",[7],-1,3,"[1.1050552757296828e-06, 1.822342528612353e-05, 6.988980771893694e-08, 8.075317600741982e-05, 0.9998998641967773]"
857,"(2, 1)","(2, 0)","[(1, 4)]",[8],-1,3,"[2.5937928512576036e-05, 7.389437087113038e-05, 8.301708476210479e-06, 0.0015091410605236888, 0.9983826875686646]"
858,"(2, 0)","(2, 0)","[(1, 4)]",[9],21.5,0,"[0.010845602490007877, 0.2981581389904022, 0.14348319172859192, 0.4815804362297058, 0.06593259423971176]"
859,"(3, 0)","(2, 0)",[],[],-1,0,"[0.00021595542784780264, 0.21435905992984772, 0.7812293767929077, 0.004188495688140392, 7.12338623998221e-06]"
860,"(3, 1)","(2, 0)",[],[],-1,0,"[3.289452797616832e-05, 0.08169412612915039, 0.9182122349739075, 6.0193018725840375e-05, 5.08188179537683e-07]"
861,"(2, 1)","(2, 0)","[(3, 3), (4, 2)]","[0, 0]",-1,0,"[1.3019081961829215e-05, 5.906347269046819e-07, 0.2459433376789093, 0.7540421485900879, 9.081398388843809e-07]"
862,"(3, 1)","(2, 0)","[(3, 3), (4, 2)]","[1, 1]",-1,0,"[7.202455890364945e-05, 0.0005056840600445867, 0.9521543383598328, 0.04726335033774376, 4.67800828118925e-06]"
863,"(3, 2)","(2, 0)","[(3, 3), (4, 2)]","[2, 2]",-1,0,"[4.697755866800435e-05, 3.358019966981374e-05, 0.9973968267440796, 0.002520519308745861, 2.0569814296322875e-06]"
864,"(3, 3)","(2, 0)","[(4, 2), (1, 4)]","[3, 0]",6.5,1,"[6.424516323022544e-05, 5.959334359317836e-08, 5.3203999414108694e-05, 0.9933173656463623, 0.006565138231962919]"
865,"(4, 3)","(2, 0)","[(4, 2), (1, 4)]","[4, 1]",-1,1,"[0.0040556867606937885, 0.006610480602830648, 0.00035206100437790155, 0.014722087420523167, 0.9742597341537476]"
866,"(4, 2)","(2, 0)","[(1, 4)]",[2],6.5,2,"[4.808520770893665e-06, 0.9696881175041199, 0.030306944623589516, 6.822657994121073e-09, 6.70752768883176e-08]"
867,"(3, 2)","(2, 0)","[(1, 4), (0, 3)]","[3, 0]",-1,2,"[1.607606463949196e-05, 0.7387109398841858, 0.26127272844314575, 5.942892755683715e-08, 1.4745964449502935e-07]"
868,"(2, 2)","(2, 0)","[(1, 4), (0, 3), (3, 0)]","[4, 1, 0]",-1,2,"[1.8742353859124705e-05, 0.009880823083221912, 0.9900985360145569, 1.890577664198645e-06, 3.994512809413209e-08]"
869,"(2, 3)","(2, 0)","[(1, 4), (0, 3), (3, 0)]","[5, 2, 1]",-1,2,"[0.00033280238858424127, 0.20951196551322937, 0.7901415228843689, 3.611861984609277e-06, 1.0084107088914607e-05]"
870,"(2, 4)","(2, 0)","[(1, 4), (0, 3), (3, 0), (0, 1)]","[6, 3, 2, 0]",-1,2,"[0.0007291381480172276, 0.9956817626953125, 0.0025002588517963886, 3.163482006129925e-06, 0.001085733063519001]"
871,"(1, 4)","(2, 0)","[(0, 3), (3, 0), (0, 1)]","[4, 3, 1]",6.5,3,"[2.1404799554147758e-05, 1.5864457964198664e-05, 1.1368560990376864e-06, 0.013402710668742657, 0.9865589141845703]"
872,"(1, 3)","(2, 0)","[(0, 3), (3, 0), (0, 1)]","[5, 4, 2]",-1,3,"[2.230568861705251e-05, 5.547244199988199e-06, 3.799411160798627e-06, 0.09137521684169769, 0.9085931181907654]"
873,"(1, 2)","(2, 0)","[(0, 3), (3, 0), (0, 1), (1, 3)]","[6, 5, 3, 0]",-1,3,"[9.662366210250184e-06, 2.5862715347102494e-07, 1.3705843230127357e-05, 0.9056656956672668, 0.0943107157945633]"
874,"(2, 2)","(2, 0)","[(0, 3), (3, 0), (0, 1), (1, 3)]","[7, 6, 4, 1]",-1,3,"[1.1050552757296828e-06, 1.822342528612353e-05, 6.988980771893694e-08, 8.075317600741982e-05, 0.9998998641967773]"
875,"(2, 1)","(2, 0)","[(0, 3), (3, 0), (0, 1), (1, 3)]","[8, 7, 5, 2]",-1,3,"[2.5937928512576036e-05, 7.389437087113038e-05, 8.301708476210479e-06, 0.0015091410605236888, 0.9983826875686646]"
876,"(2, 0)","(2, 0)","[(0, 3), (3, 0), (0, 1), (1, 3)]","[9, 8, 6, 3]",21.5,0,"[7.656111847609282e-06, 1.2843773333770514e-07, 0.028595561161637306, 0.9712977409362793, 9.90324406302534e-05]"
877,"(3, 0)","(2, 0)","[(0, 1), (1, 3)]","[7, 4]",6.5,1,"[2.493331157893408e-05, 0.7462078928947449, 0.2537565231323242, 1.0538949027250055e-05, 1.4002856119077478e-07]"
878,"(3, 1)","(2, 0)","[(0, 1), (1, 3)]","[8, 5]",-1,1,"[5.96541349295876e-06, 0.8312309384346008, 0.16876299679279327, 1.1044374303992299e-07, 3.839249274051326e-08]"
879,"(2, 1)","(2, 0)","[(0, 1), (1, 3)]","[9, 6]",-1,1,"[1.701096880424302e-05, 0.12108629196882248, 0.8788912892341614, 5.359404894988984e-06, 4.9195111984090545e-08]"
880,"(2, 2)","(2, 0)","[(1, 3)]",[7],-1,1,"[3.233722236473113e-05, 0.19476260244846344, 0.8052048683166504, 8.936843443052567e-08, 1.422340574208647e-07]"
881,"(2, 3)","(2, 0)","[(1, 3)]",[8],-1,1,"[0.00012053509271936491, 0.9995790123939514, 0.00025776639813557267, 3.883813093352728e-08, 4.251362770446576e-05]"
882,"(1, 3)","(2, 0)",[],[],6.5,2,"[2.388077882642392e-05, 6.768724688299699e-06, 1.6143347920660744e-06, 0.05632608383893967, 0.9436416625976562]"
883,"(1, 2)","(2, 0)",[],[],-1,2,"[9.121035873249639e-06, 2.687766311737505e-07, 6.1029177231830545e-06, 0.7784100770950317, 0.22157442569732666]"
884,"(2, 2)","(2, 0)",[],[],-1,2,"[5.775971771981858e-07, 1.1044322491216008e-05, 4.356797589366579e-09, 2.3441225494025275e-05, 0.9999649524688721]"
885,"(2, 1)","(2, 0)",[],[],-1,2,"[3.908510279870825e-06, 2.659275196492672e-05, 3.471031959634274e-07, 0.0001483326341258362, 0.99982088804245]"
886,"(2, 0)","(2, 0)",[],[],14.0,0,"[0.0003494184056762606, 0.0038238673005253077, 0.48089489340782166, 0.5149029493331909, 2.8866143111372367e-05]"
887,"(2, 1)","(2, 0)",[],[],-1,0,"[0.0001258287375094369, 0.0003503488842397928, 0.8719269633293152, 0.12759311497211456, 3.720449740285403e-06]"
888,"(2, 2)","(2, 0)",[],[],-1,0,"[5.403256000136025e-05, 8.17106592876371e-06, 0.9991822838783264, 0.0007553067407570779, 1.8750439778614236e-07]"
889,"(2, 3)","(2, 0)",[],[],-1,0,"[0.9373162388801575, 0.005168496165424585, 0.03548790514469147, 0.01970592699944973, 0.0023214477114379406]"
890,"(2, 3)","(2, 0)",[],[],0,0,"[0.9373162388801575, 0.005168496165424585, 0.03548790514469147, 0.01970592699944973, 0.0023214477114379406]"
891,"(2, 3)","(2, 0)","[(3, 3)]",[0],0,0,"[0.00027255271561443806, 5.008287562446867e-09, 0.0028436407446861267, 0.996859073638916, 2.4670955099281855e-05]"
892,"(3, 3)","(2, 0)",[],[],6.5,1,"[0.00011306224041618407, 0.06013438478112221, 8.577266896736546e-08, 5.185297140997136e-06, 0.9397472739219666]"
893,"(3, 2)","(2, 0)",[],[],-1,1,"[9.269015572499484e-05, 0.424556165933609, 5.261302362669085e-07, 4.330903266236419e-06, 0.5753462910652161]"
894,"(2, 2)","(2, 0)",[],[],-1,1,"[5.011359007767169e-06, 3.404098970349878e-05, 2.9339652929394333e-09, 2.7089836294180714e-05, 0.9999338388442993]"
895,"(2, 1)","(2, 0)","[(2, 4)]",[0],-1,1,"[5.521999264601618e-05, 0.00022291253844741732, 0.9568387269973755, 0.042883049696683884, 1.46089462305099e-07]"
896,"(2, 2)","(2, 0)","[(2, 4)]",[1],-1,1,"[5.9483363656909205e-06, 4.87930583403795e-06, 0.9994328618049622, 0.000556320883333683, 5.184552787085295e-09]"
897,"(2, 3)","(2, 0)","[(2, 4), (1, 4)]","[2, 0]",-1,1,"[0.00010361144813941792, 4.53585380455479e-06, 0.9989973902702332, 0.0008944211876951158, 9.640380227438072e-08]"
898,"(2, 4)","(2, 0)","[(1, 4), (4, 4)]","[1, 0]",6.5,2,"[0.0007291381480172276, 0.9956817626953125, 0.0025002588517963886, 3.163482006129925e-06, 0.001085733063519001]"
899,"(1, 4)","(2, 0)","[(4, 4)]",[1],6.5,3,"[2.1404799554147758e-05, 1.5864457964198664e-05, 1.1368560990376864e-06, 0.013402710668742657, 0.9865589141845703]"
900,"(1, 3)","(2, 0)","[(4, 4)]",[2],-1,3,"[2.230568861705251e-05, 5.547244199988199e-06, 3.799411160798627e-06, 0.09137521684169769, 0.9085931181907654]"
901,"(1, 2)","(2, 0)","[(4, 4)]",[3],-1,3,"[9.662366210250184e-06, 2.5862715347102494e-07, 1.3705843230127357e-05, 0.9056656956672668, 0.0943107157945633]"
902,"(1, 1)","(2, 0)","[(4, 4), (2, 2)]","[4, 0]",-1,3,"[4.999035354558146e-06, 1.0044804987785483e-08, 3.227288834750652e-05, 0.9984447360038757, 0.0015180105110630393]"
903,"(2, 1)","(2, 0)","[(4, 4), (2, 2)]","[5, 1]",-1,3,"[2.5937928512576036e-05, 7.389437087113038e-05, 8.301708476210479e-06, 0.0015091410605236888, 0.9983826875686646]"
